step,epoch,total,recon,dyn,pred_recon,anchor,anchor_pred,gain,a_v_mean
1300,4,17.4316463470459,1.6643751859664917,13.063980102539062,1.5496858358383179,0.5364715456962585,0.5227969884872437,0.09433501958847046,0.980483889579773
1350,4,12.175285339355469,2.092987060546875,6.600594520568848,2.182111978530884,0.6359952688217163,0.6418852806091309,0.021710967645049095,0.7613748908042908
1400,5,335.0495300292969,1.8868697881698608,329.32281494140625,1.99445641040802,0.6620779037475586,0.6664696931838989,0.5168426036834717,7.116951148204168e-18
1450,5,77.59136199951172,1.7033644914627075,72.3004379272461,1.7688153982162476,0.6542693972587585,0.6587172746658325,0.505771279335022,6.361527304932224e-09
1500,5,369.1046142578125,1.786354660987854,363.5657958984375,1.8855279684066772,0.6710781455039978,0.6755297183990479,0.520317792892456,1.445762420394101e-23
1550,5,105.55292510986328,1.852441430091858,99.9427261352539,1.9445319175720215,0.6427844762802124,0.6481220722198486,0.5223194360733032,9.98291260240196e-17
1600,5,143.8077392578125,1.670756220817566,138.45458984375,1.7981631755828857,0.6684079766273499,0.6731507182121277,0.5426690578460693,2.3420661020201242e-24
1650,5,77.71577453613281,1.5935875177383423,72.54597473144531,1.7278084754943848,0.6622782945632935,0.6659334301948547,0.5201969742774963,8.124134401505962e-16
1700,5,173.52105712890625,1.7439855337142944,168.06532287597656,1.8553917407989502,0.6668708324432373,0.6721485257148743,0.5173408389091492,8.358761653555961e-31
1750,6,85.28875732421875,1.6334308385849,80.09630584716797,1.737147331237793,0.6516249775886536,0.655815601348877,0.5144371390342712,1.0297673188887986e-17
1800,6,164.13333129882812,1.677119255065918,158.82896423339844,1.8294517993927002,0.6357761025428772,0.6420937776565552,0.5199213027954102,6.305717362939638e-23
1850,6,294.65234375,1.5306767225265503,289.549072265625,1.6669230461120605,0.6874779462814331,0.6920097470283508,0.5261697769165039,3.188292041274273e-28
1900,6,188.42724609375,1.4619932174682617,183.63888549804688,1.5608015060424805,0.6276707649230957,0.6308726668357849,0.5070135593414307,7.285348008621042e-21
1950,6,237.07168579101562,1.545714259147644,231.9401397705078,1.740409255027771,0.6560628414154053,0.6611015796661377,0.5282580852508545,6.601718509034416e-32
2000,6,86.83683013916016,1.5707224607467651,81.74239349365234,1.7219058275222778,0.6327272057533264,0.6372334957122803,0.5318481922149658,1.618492282676798e-20
2050,6,345.18914794921875,1.4931063652038574,340.1913757324219,1.653635025024414,0.6647875308990479,0.668949544429779,0.5172940492630005,0.0
